2026-05-29 19:26:22 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:26:22 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:26:22 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:26:22 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:22 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:22 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:22 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:26:22 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-05-29 19:26:27 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-05-29 19:26:27 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-05-29 19:26:27 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:26:27 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:26:27 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:26:27 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:27 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:27 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:27 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:26:27 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-05-29 19:26:41 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-05-29 19:26:41 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-05-29 19:26:41 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:26:41 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:26:41 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:26:41 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:41 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:41 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:41 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:26:41 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-05-29 19:26:48 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-05-29 19:26:48 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-05-29 19:26:48 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:26:48 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:26:48 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:26:48 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:48 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:48 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:26:48 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:26:48 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-05-29 19:27:05 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-05-29 19:27:05 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-05-29 19:27:05 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:27:05 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:27:05 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:27:05 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:05 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:05 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:05 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:27:05 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-05-29 19:27:09 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-05-29 19:27:09 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-05-29 19:27:09 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:27:09 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:27:09 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:27:09 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:09 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:09 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:09 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:27:09 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-05-29 19:27:13 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-05-29 19:27:13 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-05-29 19:27:13 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-05-29 19:27:13 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-05-29 19:27:13 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-05-29 19:27:13 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:13 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:13 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-05-29 19:27:13 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-05-29 19:27:13 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
