2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:13:17 | WARNING  | SentinelAI | [Server] No LLM providers configured. Set OPENAI_API_KEY and/or OPENROUTER_API_KEY and/or HF_API_TOKEN and/or GROQ_API_KEY in .env
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:13:22 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:14:15 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: bash
2026-06-03 18:14:15 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: read_file
2026-06-03 18:14:15 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: write_file
2026-06-03 18:14:15 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: str_replace
2026-06-03 18:14:15 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: search_code
2026-06-03 18:14:15 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: list_directory
2026-06-03 18:14:18 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-06-03 18:14:18 | WARNING  | SentinelAI | [Config] OPENROUTER_API_KEY no configurado - OpenRouter deshabilitado. Obten uno en: https://openrouter.ai/keys
2026-06-03 18:14:18 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-06-03 18:14:18 | WARNING  | SentinelAI | [Config] GROQ_API_KEY no configurado - Groq deshabilitado. Obten uno en: https://console.groq.com/keys
2026-06-03 18:14:18 | WARNING  | SentinelAI | [Config] Ningun proveedor LLM configurado. El sistema no podra generar respuestas.
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:14:18 | WARNING  | SentinelAI | [Server] No LLM providers configured. Set OPENAI_API_KEY and/or OPENROUTER_API_KEY and/or HF_API_TOKEN and/or GROQ_API_KEY in .env
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:14:20 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:15:51 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: bash
2026-06-03 18:15:51 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: read_file
2026-06-03 18:15:51 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: write_file
2026-06-03 18:15:51 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: str_replace
2026-06-03 18:15:51 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: search_code
2026-06-03 18:15:51 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: list_directory
2026-06-03 18:15:54 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-06-03 18:15:54 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-06-03 18:15:54 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-06-03 18:15:54 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:15:54 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:15:54 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:15:54 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:15:54 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:15:54 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:15:54 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:15:55 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:16:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: bash
2026-06-03 18:16:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: read_file
2026-06-03 18:16:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: write_file
2026-06-03 18:16:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: str_replace
2026-06-03 18:16:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: search_code
2026-06-03 18:16:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: list_directory
2026-06-03 18:16:49 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-06-03 18:16:49 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-06-03 18:16:49 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-06-03 18:16:49 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:16:49 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:16:49 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:16:49 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:16:49 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:16:49 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:16:49 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:16:50 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:17:42 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: bash
2026-06-03 18:17:42 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: read_file
2026-06-03 18:17:42 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: write_file
2026-06-03 18:17:42 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: str_replace
2026-06-03 18:17:42 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: search_code
2026-06-03 18:17:42 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: list_directory
2026-06-03 18:17:45 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-06-03 18:17:45 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-06-03 18:17:45 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-06-03 18:17:45 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:17:45 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:17:45 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:17:45 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:17:45 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:17:45 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:17:45 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:17:46 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:17:50 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:19:08 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: bash
2026-06-03 18:19:08 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: read_file
2026-06-03 18:19:08 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: write_file
2026-06-03 18:19:08 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: str_replace
2026-06-03 18:19:08 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: search_code
2026-06-03 18:19:08 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: list_directory
2026-06-03 18:19:11 | WARNING  | SentinelAI | [Config] WAZUH_HOST no configurado - integracion Wazuh deshabilitada.
2026-06-03 18:19:11 | WARNING  | SentinelAI | [Config] OPENAI_API_KEY no configurado - OpenAI deshabilitado. Obten uno en: https://platform.openai.com/api-keys
2026-06-03 18:19:11 | WARNING  | SentinelAI | [Config] HF_API_TOKEN no configurado - HuggingFace deshabilitado. Obten uno en: https://huggingface.co/settings/tokens
2026-06-03 18:19:11 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:19:11 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:19:11 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:19:11 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:19:11 | INFO     | SentinelAI | [Server] LLM providers ready: ['openrouter/meta-llama/llama-3.3-70b-instruct', 'groq/llama-3.1-8b-instant', 'groq/llama-3.3-70b-versatile', 'groq/groq/compound']
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:19:11 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=openrouter/meta-llama/llama-3.3-70b-instruct OPENROUTER_API_KEY not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.1-8b-instant GROQ_API_KEY not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=groq/llama-3.3-70b-versatile GROQ_API_KEY not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=groq/groq/compound GROQ_API_KEY not set or empty
2026-06-03 18:19:59 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
